;1;2;3;4;5;6;7;8;9;10;11;12
A;"Z1;0I;0a";"Z1;0I;0a";"Z1;0I;0a";"Z1;0I;0a";"Z1;0I;0a";"Z1;0I;0a";"Z1;0I;500a";"Z1;0I;500a";"Z1;0I;500a";"Z1;0I;500a";"Z1;0I;500a";"Z1;0I;500a"
B;"Z1_RAJ11;0I;0a";"Z1_RAJ11;0I;0a";"Z1_RAJ11;0I;0a";"Z1_RAJ11;0I;0a";"Z1_RAJ11;0I;0a";"Z1_RAJ11;0I;0a";"Z1_RAJ11;0I;500a";"Z1_RAJ11;0I;500a";"Z1_RAJ11;0I;500a";"Z1_RAJ11;0I;500a";"Z1_RAJ11;0I;500a";"Z1_RAJ11;0I;500a"
C;"Z1_RAJc;0I;0a";"Z1_RAJc;0I;0a";"Z1_RAJc;0I;0a";"Z1_RAJc;0I;0a";"Z1_RAJc;0I;0a";"Z1_RAJc;0I;0a";"Z1_RAJc;0I;500a";"Z1_RAJc;0I;500a";"Z1_RAJc;0I;500a";"Z1_RAJc;0I;500a";"Z1_RAJc;0I;500a";"Z1_RAJc;0I;500a"
D;"Z1;1000I;0a";"Z1;1000I;0a";"Z1;1000I;0a";"Z1;1000I;0a";"Z1;1000I;0a";"Z1;1000I;0a";"Z1;1000I;500a";"Z1;1000I;500a";"Z1;1000I;500a";"Z1;1000I;500a";"Z1;1000I;500a";"Z1;1000I;500a"
E;"Z1_RAJ11;1000I;0a";"Z1_RAJ11;1000I;0a";"Z1_RAJ11;1000I;0a";"Z1_RAJ11;1000I;0a";"Z1_RAJ11;1000I;0a";"Z1_RAJ11;1000I;0a";"Z1_RAJ11;1000I;500a";"Z1_RAJ11;1000I;500a";"Z1_RAJ11;1000I;500a";"Z1_RAJ11;1000I;500a";"Z1_RAJ11;1000I;500a";"Z1_RAJ11;1000I;500a"
F;"Z1_RAJc;1000I;0a";"Z1_RAJc;1000I;0a";"Z1_RAJc;1000I;0a";"Z1_RAJc;1000I;0a";"Z1_RAJc;1000I;0a";"Z1_RAJc;1000I;0a";"Z1_RAJc;1000I;500a";"Z1_RAJc;1000I;500a";"Z1_RAJc;1000I;500a";"Z1_RAJc;1000I;500a";"Z1_RAJc;1000I;500a";"Z1_RAJc;1000I;500a"
G;LB;LB;LB;LB;LB;LB;LB;LB;LB;LB;LB;LB
H;"wt_RAJ11;0I;0a";"wt_RAJ11;0I;0a";"wt_RAJ11;0I;0a";"wt_RAJ11;0I;0a";"wt_RAJ11;0I;0a";"wt_RAJ11;0I;0a";"wt_RAJc;0I;0a";"wt_RAJc;0I;0a";"wt_RAJc;0I;0a";"wt_RAJc;0I;0a";"wt_RAJc;0I;0a";"wt_RAJc;0I;0a"
